"name","uuid:ID","purpose","id","label","text","description","instanceType"
"END1","c2aac798-550b-404c-b012-f3abe39eae5d","","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint"
"END2","ddb9e322-c161-49d6-997e-cc87524d15fe","","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint"
"END3","306218e1-7535-43d5-a528-3d960ec30de7","","Endpoint_3","","Adverse events","","Endpoint"
"END4","c5b4c719-9c82-41e8-9d56-c4aadf77c0bd","","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint"
"END5","314e9e61-d54f-4cf3-b6ab-3cd5d7531c69","","Endpoint_5","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint"
"END6","6b8bf394-41b7-4388-9536-fd68864a51ec","","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint"
"END7","cb1bac3b-f33a-42c4-bc22-3d605e3c7329","","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint"
"END8","d88fdd8f-54e9-43be-8a79-696db0c9661e","","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint"
"END9","0a312646-74ee-4249-9c1f-c18acb03fd2a","","Endpoint_9","","*** To be determined from protocol ***","","Endpoint"
"END10","e440bb41-64a4-4c99-9baf-2a470301c7f2","","Endpoint_10","","*** To be determined from protocol ***","","Endpoint"
"END11","a4be2579-4f1b-4b5f-ac6c-a019fb56d81e","","Endpoint_11","","*** To be determined from protocol ***","","Endpoint"
