"name","uuid:ID","id","label","description","instanceType"
"SCREEN1","03c79870-f11b-43ad-a16e-f24856161a6c","ScheduledActivityInstance_9","Screen One","-","ScheduledActivityInstance"
"SCREEN2","8b3390b8-564c-408d-8eda-c8105f02635c","ScheduledActivityInstance_10","Screen Two","-","ScheduledActivityInstance"
"DOSE","c726882b-8e1b-4e38-8a3d-d27c534d2648","ScheduledActivityInstance_11","Dose","-","ScheduledActivityInstance"
"WK2","39a1affd-a146-4107-80fb-c85fe616eeb3","ScheduledActivityInstance_12","Week 2","-","ScheduledActivityInstance"
"WK4","28f70c0f-2064-4067-b74b-85cedf7baae6","ScheduledActivityInstance_13","Week 4","-","ScheduledActivityInstance"
"WK6","5028fbf9-504a-43f4-ad31-9a4d4921b058","ScheduledActivityInstance_14","Week 6","-","ScheduledActivityInstance"
"WK8","36c47e2d-8439-4fe4-a045-ae23deeb50fc","ScheduledActivityInstance_15","Week 8","-","ScheduledActivityInstance"
"WK8N","c2e3aaa8-8f47-41b4-bc21-7077588d9225","ScheduledActivityInstance_16","Week NPI","-","ScheduledActivityInstance"
"WK12","d7d19c50-85de-4bed-be31-86afc5c0f9b1","ScheduledActivityInstance_17","Week 12","-","ScheduledActivityInstance"
"WK12N","663886f9-2fb1-4961-adab-ecc24947dd51","ScheduledActivityInstance_18","Week 12 NPI","-","ScheduledActivityInstance"
"WK16","b393f6ae-9b8e-4684-bcac-bd11b0c791f7","ScheduledActivityInstance_19","Week 16","-","ScheduledActivityInstance"
"WK16N","b871405d-5231-4ee9-9d2a-6c6f7a3061bf","ScheduledActivityInstance_20","Week 16 NPI","-","ScheduledActivityInstance"
"WK20","edc383a9-5fc8-4fa4-97fd-03b091dbdf3d","ScheduledActivityInstance_21","Week 20","-","ScheduledActivityInstance"
"WK20N","b04ca0e3-3617-4c9f-a3a9-9568487c78d6","ScheduledActivityInstance_22","Week 20 NPI","-","ScheduledActivityInstance"
"WK24","f3573678-edf4-45fc-82d2-b205b8c9cdb0","ScheduledActivityInstance_23","Week 24","-","ScheduledActivityInstance"
"WK26","655b300a-b1c2-4a10-978e-7edeff0ca65f","ScheduledActivityInstance_24","Week 26","-","ScheduledActivityInstance"
"AE","af971928-41f2-4c08-817e-12e2045135b2","ScheduledActivityInstance_1","Adevers Event","-","ScheduledActivityInstance"
"ET","ec9de0ea-6db0-4a89-90b7-7496c15f82ad","ScheduledActivityInstance_2","Early Termination","-","ScheduledActivityInstance"
"VS_5MIN","2119b353-2968-4a46-99fd-0eb6d484b81c","ScheduledActivityInstance_3","5 minute supine","","ScheduledActivityInstance"
"VS_SUPINE","90ecb55a-88dd-4712-9c09-7880ece3dd10","ScheduledActivityInstance_4","Vital signs supine","","ScheduledActivityInstance"
"VS_1MIN","2d72f14d-bf8a-41f5-82ce-6ba422345565","ScheduledActivityInstance_5","1 minute standing","","ScheduledActivityInstance"
"VS_STAND1","5494b5c0-f463-4510-b55e-0e4ddfa85157","ScheduledActivityInstance_6","Vital signs after 1 min standing","","ScheduledActivityInstance"
"VS_2MIN","f357667f-5d06-44e9-b322-667135fc946c","ScheduledActivityInstance_7","2 minute standing","","ScheduledActivityInstance"
"VS_STAND3","b7539734-40bc-4e3f-a77a-0c36bfdba1d9","ScheduledActivityInstance_8","Vital signs after 3 min standing","","ScheduledActivityInstance"
