"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","823b77ac-1e4e-4788-88e9-b0b1654eb224","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","cbc5211a-1c68-47da-b5ad-798dfd3cb49b","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","d3b275f5-9345-4b10-8cc7-a2e22b82d6bb","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","6097032a-0175-4adc-b86f-dbf2975c6ac9","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","71d6d7b9-bf4b-434d-b4ac-8f1d479de400","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","a54a8189-b876-4653-9880-69df1a55726e","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","7acf3ae6-6412-412d-b876-cc9bdaf6f1f8","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","ab7f661e-463a-4136-a18c-5243247db51e","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","29d21e51-201e-49b0-a66b-2e7030660cf9","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","ad3efecd-b7f6-4d24-b01e-f5beb30c1fde","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","4529dca5-ad51-4408-b35e-4814b6f6e191","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","f587aedd-723c-4eba-9d4d-60cab83b9e15","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","3f40a0c8-7640-42c5-a187-2cd9faa06ea7","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","c2cd4568-aac8-46b3-9831-9d47f4681bab","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","8e880d0d-6c43-43fd-84e4-8a22feac8eb7","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
