"name","uuid:ID","id","label","description","instanceType"
"E1","14b2eeca-a0bf-446b-89e8-5fc502b90ce8","Encounter_1","Screening 1","Screening encounter","Encounter"
"E2","69edb1dc-3e69-40d5-90f8-08afbcd9c830","Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter"
"E3","28e186c1-b1d6-4aa3-bcce-d6167a1c4eba","Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter"
"E4","a8ea87e9-e9bf-446e-b576-ebb06a1cca49","Encounter_4","Week 2","Day 14","Encounter"
"E5","3d723ef0-f57c-4a39-a61d-8aaef32787ac","Encounter_5","Week 4","Day 28","Encounter"
"E7","cedbdba6-0c20-4519-a516-2c0804313dfb","Encounter_6","Week 6","Day 42","Encounter"
"E8","15226709-db51-4617-b7bb-9864e3890476","Encounter_7","Week 8","Day 56","Encounter"
"E9","894d507a-6edf-47a2-b778-54ac0d0f5037","Encounter_8","Week 12","Day 84","Encounter"
"E10","db85d0ea-47fe-42e1-ad12-6f6850e397a3","Encounter_9","Week 16","Day 112","Encounter"
"E11","4dd94da0-4a66-43c8-809b-54fe2e32c16e","Encounter_10","Week 20","Day 140","Encounter"
"E12","76f91b16-2d1d-4a0a-b313-6a05443d7683","Encounter_11","Week 24","Day 168","Encounter"
"E13","6359da1b-25e2-48cc-ac7f-a951041de443","Encounter_12","Week 26","Day 182","Encounter"
