"name","uuid:ID","id","value","windowUpper","windowLabel","label","valueLabel","description","windowLower","instanceType"
"TIM1","f0f9e6c0-acac-49bf-a610-c675383a40c7","Timing_1","P2W","","","Screening","2 weeks","Screening timing","","Timing"
"TIM2","70b333f2-b12d-4459-bc45-53e17170a6c4","Timing_2","P2D","PT0H","-4..0 hours","Pre dose","2 days","Pre dose timing","PT4H","Timing"
"TIM3","796027f7-a5a5-429b-a36d-002fc05c5263","Timing_3","P1D","","","Dosing","1 Day","Dosing anchor","","Timing"
"TIM4","2934b4b3-bbc9-42cb-9f1e-57fdc621301f","Timing_4","P2W","P3D","-3..3 days","Week 2","2 Weeks","Week 2 timing","P3D","Timing"
"TIM5","aad86519-3c7a-4e5f-9be7-d60eed0957af","Timing_5","P4W","P3D","-3..3 days","Week 4","4 Weeks","Week 4 timing","P3D","Timing"
"TIM6","54d45c97-5124-4a66-aaa9-dd168337bef4","Timing_6","P6W","P3D","-3..3 days","Week 6","6 Weeks","Week 6 timing","P3D","Timing"
"TIM7","c5470be8-fa7b-4213-bc59-ec345458cc66","Timing_7","P8W","P3D","-3..3 days","Week 8","8 Weeks","Week 8 timing","P3D","Timing"
"TIM9","7a6bee1c-06c7-4a60-abef-8ede0f172fd8","Timing_9","P12W","P4D","-4..4 days","Week 12","12 Weeks","Week 12 timing","P4D","Timing"
"TIM11","231f6b2e-c0fd-423a-8dd1-83e3b2df9f97","Timing_11","P16W","P4D","-4..4 days","Week 16","16 Weeks","Week 16 timing","P4D","Timing"
"TIM13","0a16fe62-144b-4df4-b2b4-9ff38873e988","Timing_13","P20W","P4D","-4..4 days","Week 20","20 Weeks","Week 20 timing","P4D","Timing"
"TIM15","ae29063b-a309-4ed9-b8eb-6a1ee468e684","Timing_15","P24W","P4D","-4..4 days","Week 24","24 Weeks","Week 24 timing","P4D","Timing"
"TIM16","f10bd4de-1ce4-45ac-a755-ca952c0c0b56","Timing_16","P26W","P3D","-3..3 days","Week 26","26 Weeks","Week 26 timing","P3D","Timing"
"TIM8","2454dc35-9114-41cc-8e0f-2b9d98865881","Timing_8","P2W","","","Week 8 Home","2 Weeks","Week 8 at home timing","","Timing"
"TIM10","a50f6414-53de-41c9-965e-987c81483de2","Timing_10","P2W","","","Week 12 Home","2 Weeks","Week 12 at home timing","","Timing"
"TIM12","202e9739-f1a1-4e5b-a3ca-0f7fc435ba1a","Timing_12","P2W","","","Week 16 Home","2 Weeks","Week 16 at home timing","","Timing"
"TIM14","60450269-51a6-4128-b262-e150e385a5d8","Timing_14","P2W","","","Week 20 Home","2 Weeks","Week 20 at home timing","","Timing"
"TIM17","227c14eb-5de9-42c2-872d-3d3d00b6cac3","Timing_17","P1D","","","Adverse Event","1 Day","Adverse Event","","Timing"
"TIM18","6879cc12-646c-416a-b676-c6021c1453c4","Timing_18","P1D","","","Early Termination","1 Day","Early Termination","","Timing"
"TIM19","66a694a6-0e19-4746-b946-6dd02bc65821","Timing_19","PT0M","","","Supine","0 mins","Supine","","Timing"
"TIM20","bd3a709f-8a76-4976-acae-2e771be228c8","Timing_20","PT5M","","","VS while supine","5 mins","VS while supine","","Timing"
"TIM21","eb2eaa24-eb39-413e-9ed4-8668cb06a886","Timing_21","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM22","3fe0fddd-4ffe-407a-ab62-ebcad4d29231","Timing_22","PT1M","","","VS while standing","1 min","VS while standing","","Timing"
"TIM23","1d97d3c8-3a68-462c-9d5f-d511513c5472","Timing_23","PT0M","","","Standing","0 min","Standing","","Timing"
"TIM24","8184e788-9f81-4e73-831e-d0d22154d57f","Timing_24","PT2M","","","VS while standing","2 min","VS while standing","","Timing"
